"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2022","0.083366","0.090267","0.090967","0.083151","988.79M","-7.66%"
"May 17, 2022","0.090277","0.087985","0.091331","0.086973","1.01B","2.64%"
"May 16, 2022","0.087952","0.093191","0.093191","0.085903","1.05B","-5.63%"
"May 15, 2022","0.093197","0.089386","0.093197","0.086587","1.16B","4.26%"
"May 14, 2022","0.089386","0.088083","0.091874","0.083685","1.68B","1.47%"
"May 13, 2022","0.088090","0.082447","0.095103","0.082152","3.69B","6.78%"
"May 12, 2022","0.082498","0.084823","0.089624","0.068584","6.26B","-2.74%"
"May 11, 2022","0.084818","0.108044","0.110705","0.075829","7.18B","-21.43%"
"May 10, 2022","0.107958","0.101361","0.118172","0.099659","3.10B","6.48%"
"May 09, 2022","0.101385","0.124116","0.125198","0.101263","3.17B","-18.31%"
"May 08, 2022","0.124115","0.127451","0.128175","0.123157","1.14B","-2.63%"
"May 07, 2022","0.127464","0.127811","0.132207","0.124916","1.33B","-0.27%"
"May 06, 2022","0.127806","0.128132","0.129771","0.123792","1.40B","-0.22%"
"May 05, 2022","0.128090","0.135906","0.137688","0.126271","2.42B","-5.75%"
"May 04, 2022","0.135905","0.129415","0.136086","0.129008","1.44B","5.02%"
